曲名,項目2,都道府県名,年齢,性別
病院希求日記、DISCORD,5回,神奈川県,24,男性
,1,東京都,30,男性
扉、Lump of affection,5,神奈川県,25,男性
LIFE,1回,東京都,28,男性
prime,1回,神奈川県,25,男性
Just break the limit!,1回,東京都,22,男性
GO-ON,1,神奈川県,31,男性
ultimate ,2,神奈川県,27,男性
ai ta心,2回,東京都,23,女性
THE SONG,1回,神奈川県,42,男性
Roots,2,三重県,30,男性
Burst,1,神奈川県,27,男性
THE SONG,1回,神奈川県,27,男性
体温,1,埼玉県,25,男性
イーティー,2回,神奈川県,32,男性
ai ta心,2回,東京都,32,男性
AWAYOKUBA-斬る,1,神奈川県,33,男性
Fight For Liberty,2,東京都,41,男性
浮世CROSSING,30,埼玉県,24,男性
Wizard CLUB,1回,東京都,29,女性
Nitro/Burst/GROOVY GROOVY GROOVY/brand new ancient,2回,千葉県,32,女性
心とココロ,1回,神奈川県,28,女性
哀しみはきっと,1,東京都,52,女性
PRAYING RUN,1回,山梨県,50,女性
儚くも永久のカナシ,1回,埼玉県,28,男性
AWAYOKUBA-斬る,1,神奈川県,33,男性
ace of ace,1回,神奈川県,32,男性
Timeless～LASTの曲,1回,埼玉県,34,女性
LIFE,1回,神奈川県,29,女性
LIFE,1回,神奈川県,29,女性
DISCORD,2回,東京都,44,女性
GROOVY GROOVY GROOVY,3回,東京都,24,男性
I LOVE THE WORLD,3,神奈川県,37,女性
BVCK,1回,神奈川県,29,男性
NAMELY,1回,千葉県,27,男性
Fight For Liberty,2回,東京都,27,男性
ace of ace,1回,神奈川県,31,男性
心とココロ（父さん→母さん）,1回,東京都,59,女性
Fight for Liberty,1,神奈川県,28,男性
ピグマリオン,1,東京都,28,男性
Live everyday as if were the last day,1回,神奈川県,30,女性
エミュー,2,東京都,26,男性
イーティー,1回,神奈川県,24,男性
美影意志,1回,茨城県,35,女性
扉,3,東京都,27,男性
MEMORIES of the End,1回,長野県,29,女性
ハイ、問題作！,1,東京都,25,男性
ace of ace,2回,東京都,46,男性
撃破,0,埼玉県,35,男性
WANNA be BRILLIANT,1回,神奈川県,29,女性
扉,1回,千葉県,35,女性
OXYMORON,1回,東京都,26,女性
YURA YURA,2回,埼玉県,35,女性
撃破・ace of acb,10回以上,神奈川県,34,男性
MEMORIES of the End,1,神奈川県,46,女性
THE ONE(SE) CORE PRIDE Fight For Liberty(フル) ace of ace  儚くも永遠のカナシ(フル) ,1,静岡県,29,男性
若さ故エンテレケイア,1,神奈川県,29,女性
D-tecnoLife,1回,東京都,33,男性
ハルジオン,1回,埼玉県,52,女性
奏全域,1回,東京都,34,男性
ROB THE FRONTIER,1回,東京都,19,女性
若さ故エンテレケイア,1回,神奈川県,29,女性
Roots,1回,静岡県,36,女性
Rush,1回,神奈川県,29,女性
マダラ蝶,1,埼玉県,28,女性
マダラ蝶,1,埼玉県,28,女性
a lovey tone,1回,神奈川県,28,女性
スパルタ,1回,東京都,25,男性
君の好きなうた、a LOVELY TONE、two Lies、THUG LIF、言わなくても伝わるあれは少しだけ嘘だ、MONDO PIECE、NO MAP 、在るべき形、えくぼ、ビタースウィート、Eye's Sentry、Bye Bye-to you、恋しくて、白昼夢、モノクローム、シャカビーチ、NAMELY,4回,神奈川県,29,女性
Roots,1,東京都,25,男性
在るべきかたち,1回,東京都,41,女性
??Lump of affection　??α-Skill,1回,大阪府,27,女性
GOLD（フル）,1回,神奈川県,28,女性
Lump Of Affection,1,埼玉県,37,女性
ALL ALONE,1回,東京都,26,男性
LONE WOLF,2回,神奈川県,32,女性
マダラ蝶,1回,奈良県,38,男性
Colors of the Heart ,1,東京都,29,女性
THE SONG,回,神奈川県,60,女性
REVERSI,1回,神奈川県,39,男性
7th Trigger,1回,東京都,35,男性
バーレル,2回,群馬県,36,女性
7日目の決意,6,東京都,36,女性
99/100騙しの哲,1回,東京都,26,男性
IDEAL REALITY,1回,埼玉県,19,男性
endscape ,1,千葉県,32,女性
I LOVE THE WORLD,1回,東京都,29,男性
brand new ancient,4,神奈川県,41,男性
魑魅魍魎マーチ,1,神奈川県,33,女性
world LOST world,1回,埼玉県,28,男性
NO MAP,1回,埼玉県,26,男性
マダラ蝶,1回,東京都,39,女性
LONE WOLF,2回,茨城県,24,男性
α-Skill,1回,東京都,29,女性
心とココロ,1回目,静岡県,29,女性
Lifesize,1,神奈川県,25,男性
Fight for Liberty 撃破　此処から,1回目,神奈川県,30,男性
THE SONG,１回,兵庫県,56,女性
LONE WOLF,1回,千葉県,43,男性
AWAYOKUBA-斬る,1回,東京都,45,女性
WANNA be BRILLIANT、Roots,1回,千葉県,30,女性
奏全域,1回,東京都,33,男性
ノーウェアボーイ,1,神奈川県,31,男性
Lump of affection,1回,千葉県,30,男性
OXYMORON,1回,神奈川県,32,男性
一滴の影響,1回,東京都,30,女性
LONE WOLF,6回,神奈川県,28,男性
在るべき形,1回,東京都,27,女性
